Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-03-29,110.21,110.25,109.06,109.69,16558685
2019-04-01,110.24,111.5,110.03,111.15,10916871
2019-04-02,111.78,111.94,110.57,110.61,9344589
2019-04-03,111.34,111.74,110.86,111.16,10663642
2019-04-04,111.87,113.47,111.66,113.36,14554077
2019-04-05,113.58,113.74,112.92,113.61,11041201
2019-04-08,113.61,114.43,113.25,113.57,11189311
2019-04-09,114.22,115.75,113.89,115.45,17552208
2019-04-10,116.16,116.6,114.87,115.75,14263264
2019-04-11,116.31,116.43,114.91,115.19,12940712
2019-04-12,126.36,129.32,124.83,128.49,66050973
2019-04-15,129.46,131.09,128.22,130.45,33174275
2019-04-16,130.16,130.54,127.99,128.33,14742310
2019-04-17,128.24,130.77,127.71,130.16,14427913
2019-04-18,130.18,131.26,129.52,130.85,12035901
2019-04-22,130.31,130.61,129.45,130.09,10322132
2019-04-23,131.78,132.62,131.04,131.75,12307933
2019-04-24,131.5,134.11,131.11,133.47,11589381
2019-04-25,133.73,137.21,133.21,135.59,16582669
2019-04-26,137.03,138.35,135.85,138.23,14340734
2019-04-29,140.47,140.65,135.95,137.62,26060748
2019-04-30,137.44,137.7,134.38,135.32,15439500
2019-05-01,135.83,136.5,134.59,134.73,9015582
2019-05-02,133.75,134.05,130.79,132.52,16783034
2019-05-03,133.59,133.68,132.17,132.7,8982869
2019-05-06,130.94,133.7,130.71,133.37,10077298
2019-05-07,133.72,134.33,131.15,131.83,11106750
2019-05-08,131.89,134.06,131.7,133.36,15612026
2019-05-09,133.4,134.83,131.23,131.98,15484000
2019-05-10,131.4,132.69,129.64,132.43,9978970
2019-05-13,129.91,131.05,128.98,129.75,11529095
2019-05-14,131.91,133.03,130.46,131.59,12148415
2019-05-15,130.95,133.58,130.45,133.05,9853030
2019-05-16,133.66,134.75,133.18,133.87,9807813
2019-05-17,132.64,134.34,132.42,133.41,9073732
2019-05-20,132.63,132.77,131.64,132.3,8106879
2019-05-21,132.94,132.94,131.5,132.47,7136457
2019-05-22,132.21,132.55,131.78,132.24,5155998
2019-05-23,131.1,131.94,130.36,131.12,6825740
2019-05-24,131.49,131.68,130.63,131.18,4625985
2019-05-28,131.6,132.43,130.99,131.02,9047608
2019-05-29,130.37,130.56,129.2,129.98,7844301
2019-05-30,130.29,131.07,129.75,130.61,5338442
2019-05-31,129.37,131.32,129.21,130.45,7511591
2019-06-03,130.43,131.34,129.9,130.87,7997952
2019-06-04,131.84,133.25,131.31,133.19,8348307
2019-06-05,133.78,134.36,133.31,134.3,6926386
2019-06-06,134.86,135.78,134.09,135.56,6100977
2019-06-07,135.98,137.09,135.67,136.37,7112138
2019-06-10,137.21,137.21,134.42,135.42,8583156
2019-06-11,135.93,136.08,133.31,133.45,6429847
2019-06-12,133.46,134.63,133.2,134.08,5604655
2019-06-13,136.28,140.14,135.95,140.03,18158786
2019-06-14,140.34,141.22,138.84,139.94,11261164
2019-06-17,139.11,139.77,137.43,139.27,8647120
2019-06-18,140.28,141.78,137.29,137.56,11368667
2019-06-19,137.82,139.37,136.91,139.22,6961188
2019-06-20,140.19,140.51,138.22,140.31,8589500
2019-06-21,140.24,140.29,138.31,138.54,14322967
2019-06-24,138.43,138.78,136.13,137.54,10625715
2019-06-25,137.34,138.72,137,138.25,14854706
2019-06-26,138.67,139.04,137.82,138.71,8950198
2019-06-27,139.3,140.03,137.24,137.62,6545286
2019-06-28,137.72,138.52,136.94,137.95,20324187
2019-07-01,138.76,140.24,137.54,139.94,9106401
2019-07-02,139.69,141.13,139.56,140.81,7649673
2019-07-03,140.98,141.27,140.29,141.25,4201580
2019-07-05,140.58,142.04,139.86,141.6,5629515
2019-07-08,141.33,141.38,140.13,140.18,5023785
2019-07-09,139.23,140.88,138.92,140.77,7440596
2019-07-10,141.55,143.39,141.16,142.69,9590782
2019-07-11,143.15,144.47,142.69,142.71,10533866
2019-07-12,143.29,144.56,143.14,144.02,8561006
2019-07-15,144.27,144.49,143.11,144.2,5320937
2019-07-16,143.89,144.13,142.95,143.44,5889784
2019-07-17,143.74,143.82,141.52,141.72,5328085
2019-07-18,141.61,141.61,139.34,140.79,8083624
2019-07-19,141.39,141.39,138.91,139.02,6146480
2019-07-22,140.41,140.6,139.18,140,7753878
2019-07-23,140.81,141.69,139.43,140.42,7559547
2019-07-24,140.45,140.75,139.56,140.45,5931938
2019-07-25,140.56,142.38,140.2,142.36,7338078
2019-07-26,143.79,144.33,142.2,143.79,8188167
2019-07-29,144.72,146.27,144.31,145.52,11744051
2019-07-30,144.07,145.93,143.75,144.07,6602379
2019-07-31,144.13,144.14,141.49,142.16,9768848
2019-08-01,142.49,143.67,140.42,141.01,8965049
2019-08-02,140.15,141.37,139.11,140.87,6578227
2019-08-05,138.31,139.39,136.21,137.48,10733605
2019-08-06,139.58,141.1,137.55,141.03,18931628
2019-08-07,134.13,135.06,131.47,134.06,29258741
2019-08-08,137.08,137.18,135.2,137.07,14138964
2019-08-09,136.28,138.41,135.95,137.7,8864663
2019-08-12,136.49,136.75,134.42,134.99,7457898
2019-08-13,134.2,137.1,134.2,136.19,8246108
